No,me,DN,me_name,related_me_name,alarm_severity,alarm_category,alarm_name,alarm_desc,raised_time,me_ip,moc,additional_info,alarm_id,product,me_id,board_type,alarm_object,position
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210523 17:35:26,,Local EM,"User vyogie input wrong login password from 10.40.102.251, Login time:2021-05-23T17:35:58+07:00.",1605451899582,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210523 22:20:33,,Local EM,"User vyogie input wrong login password from 10.38.64.60, Login time:2021-05-23T22:20:33+07:00.",1605451899960,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210524 09:46:31,,Local EM,"User moehammadiqbP729095 input wrong login password from 10.38.64.156, Login time:2021-05-24T09:48:25+07:00.",1605451900890,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210524 10:41:06,,Local EM,"User vliok input wrong login password from 10.38.88.52, Login time:2021-05-24T10:41:06+07:00.",1605451900944,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210524 11:03:04,,Local EM,"User vliok input wrong login password from 10.38.88.169, Login time:2021-05-24T11:03:04+07:00.",1605451900982,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210524 11:28:44,,Local EM,"User vsapto input wrong login password from 10.40.97.196, Login time:2021-05-24T11:28:44+07:00.",1605451901068,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210524 11:33:56,,Local EM,"User AkmallasP713890 input wrong login password from 10.38.89.131, Login time:2021-05-24T11:33:56+07:00.",1605451901080,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210524 11:38:29,,Local EM,"User wahyudialiP723895 input wrong login password from 10.38.72.99, Login time:2021-05-24T11:38:29+07:00.",1605451901083,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210524 12:31:33,,Local EM,"User wahyudialiP723896 input wrong login password from 10.38.72.46, Login time:2021-05-24T12:33:37+07:00.",1605451901218,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210524 13:43:56,,Local EM,"User AkmallasP719935 input wrong login password from 10.40.102.2, Login time:2021-05-24T13:43:56+07:00.",1605451901400,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210524 14:02:34,,Local EM,"User vswindra input wrong login password from 10.40.104.151, Login time:2021-05-24T14:02:34+07:00.",1605451901432,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210524 14:18:44,,Local EM,"User vliok input wrong login password from 10.38.66.197, Login time:2021-05-24T14:18:44+07:00.",1605451901472,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210524 16:21:34,,Local EM,"User vyogie input wrong login password from 10.40.105.62, Login time:2021-05-24T16:21:34+07:00.",1605451901655,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210524 16:23:31,,Local EM,"User vliok input wrong login password from 10.38.72.155, Login time:2021-05-24T16:23:31+07:00.",1605451901659,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210524 16:23:51,,Local EM,"User vyogie input wrong login password from 10.38.72.155, Login time:2021-05-24T16:23:51+07:00.",1605451901660,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210524 16:24:08,,Local EM,"User vsapto input wrong login password from 10.38.72.155, Login time:2021-05-24T16:24:08+07:00.",1605451901661,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210524 18:31:10,,Local EM,"User wahyudialiP724159 input wrong login password from 10.40.108.116, Login time:2021-05-24T18:31:10+07:00.",1605451901840,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210524 22:07:13,,Local EM,"User wahyudialiP723888 input wrong login password from 10.38.83.159, Login time:2021-05-24T22:07:49+07:00.",1605451902578,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210524 22:21:04,,Local EM,"User vabdul input wrong login password from 10.40.99.157, Login time:2021-05-24T22:21:04+07:00.",1605451902592,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210524 22:50:07,,Local EM,"User AkmallasP713890 input wrong login password from 10.228.67.54, Login time:2021-05-24T22:50:07+07:00.",1605451902675,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 09:24:31,,Local EM,"User anakaga input wrong login password from 10.59.66.4, Login time:2021-05-25T09:24:31+07:00.",1605451903250,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 09:46:40,,Local EM,"User vsapto input wrong login password from 10.38.83.217, Login time:2021-05-25T09:46:40+07:00.",1605451903279,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 10:12:01,,Local EM,"User akmallasP729350 input wrong login password from 10.38.70.48, Login time:2021-05-25T10:12:01+07:00.",1605451903301,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 10:54:10,,Local EM,"User varif input wrong login password from 10.38.85.137, Login time:2021-05-25T10:54:10+07:00.",1605451903437,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 10:55:38,,Local EM,"User akmallasP729350 input wrong login password from 10.40.98.61, Login time:2021-05-25T10:55:38+07:00.",1605451903439,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 11:21:33,,Local EM,"User vliok input wrong login password from 10.40.101.172, Login time:2021-05-25T11:21:33+07:00.",1605451903487,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 11:27:00,,Local EM,"User AkmallasP713890 input wrong login password from 10.40.101.191, Login time:2021-05-25T11:27:00+07:00.",1605451903491,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 11:41:22,,Local EM,"User akmallasP713922 input wrong login password from 10.38.87.19, Login time:2021-05-25T11:41:22+07:00.",1605451903501,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 12:09:50,,Local EM,"User moehammadiqbP729095 input wrong login password from 10.40.101.58, Login time:2021-05-25T14:37:59+07:00.",1605451903585,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 12:39:08,,Local EM,"User vsigmund input wrong login password from 10.38.83.178, Login time:2021-05-25T12:39:08+07:00.",1605451903667,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 12:40:07,,Local EM,"User vliok input wrong login password from 10.38.83.178, Login time:2021-05-25T12:40:17+07:00.",1605451903668,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 12:41:26,,Local EM,"User varif input wrong login password from 10.38.83.178, Login time:2021-05-25T12:41:26+07:00.",1605451903675,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 12:44:52,,Local EM,"User akmallasP726346 input wrong login password from 10.38.88.28, Login time:2021-05-25T12:44:52+07:00.",1605451903686,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 13:45:21,,Local EM,"User widodo09 input wrong login password from 10.40.104.150, Login time:2021-05-25T13:45:21+07:00.",1605451903808,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 13:54:41,,Local EM,"User akmallasP729400 input wrong login password from 10.38.69.146, Login time:2021-05-25T13:56:22+07:00.",1605451903819,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 14:01:10,,Local EM,"User akmallasP729401 input wrong login password from 10.40.100.28, Login time:2021-05-25T14:01:10+07:00.",1605451903838,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 14:01:55,,Local EM,"User akmallasP729402 input wrong login password from 10.40.100.28, Login time:2021-05-25T14:01:55+07:00.",1605451903839,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 14:11:58,,Local EM,"User varif input wrong login password from 10.40.104.36, Login time:2021-05-25T14:11:58+07:00.",1605451903867,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 14:22:07,,Local EM,"User vthio input wrong login password from 10.38.73.172, Login time:2021-05-25T14:22:07+07:00.",1605451903884,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 14:22:18,,Local EM,"User varif input wrong login password from 10.38.73.172, Login time:2021-05-25T14:22:18+07:00.",1605451903885,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 14:59:42,,Local EM,"User varif input wrong login password from 10.38.86.106, Login time:2021-05-25T17:02:57+07:00.",1605451903992,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 15:01:22,,Local EM,"User AkmallasP713890 input wrong login password from 10.38.92.126, Login time:2021-05-25T15:01:22+07:00.",1605451903996,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 15:06:10,,Local EM,"User vsigmund input wrong login password from 10.38.91.136, Login time:2021-05-25T15:06:10+07:00.",1605451904003,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 15:08:07,,Local EM,"User vliok input wrong login password from 10.38.91.136, Login time:2021-05-25T15:09:44+07:00.",1605451904005,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 17:02:29,,Local EM,"User vliok input wrong login password from 10.38.86.106, Login time:2021-05-25T17:02:29+07:00.",1605451904210,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 17:02:36,,Local EM,"User vsigmund input wrong login password from 10.38.86.106, Login time:2021-05-25T17:02:36+07:00.",1605451904211,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 17:30:36,,Local EM,"User wahyudialiP728550 input wrong login password from 10.38.77.50, Login time:2021-05-25T17:30:54+07:00.",1605451904286,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 17:31:16,,Local EM,"User wahyudialiP728560 input wrong login password from 10.38.77.50, Login time:2021-05-25T17:31:16+07:00.",1605451904288,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 17:33:55,,Local EM,"User AkmallasP714030 input wrong login password from 10.38.90.72, Login time:2021-05-25T17:34:33+07:00.",1605451904292,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 17:34:35,,Local EM,"User wahyudialiP728559 input wrong login password from 10.38.77.50, Login time:2021-05-25T17:35:03+07:00.",1605451904297,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210525 18:59:27,,Local EM,"User wahyudialiP724158 input wrong login password from 10.40.101.132, Login time:2021-05-25T18:59:27+07:00.",1605451904395,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210526 00:02:59,,Local EM,"User vliok input wrong login password from 10.38.85.138, Login time:2021-05-26T00:02:59+07:00.",1605451904784,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210526 00:08:14,,Local EM,"User vabdul input wrong login password from 10.38.66.145, Login time:2021-05-26T00:08:14+07:00.",1605451904793,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210526 08:32:13,,Local EM,"User AkmallasP713890 input wrong login password from 10.40.97.185, Login time:2021-05-26T08:32:13+07:00.",1605451906331,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210526 11:06:00,,Local EM,"User vliok input wrong login password from 10.38.84.41, Login time:2021-05-26T11:06:00+07:00.",1605451906621,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210526 12:08:53,,Local EM,"User wahyudialiP723889 input wrong login password from 10.38.83.236, Login time:2021-05-26T12:08:53+07:00.",1605451906800,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210526 12:10:14,,Local EM,"User akmallasP729350 input wrong login password from 10.38.83.236, Login time:2021-05-26T12:10:14+07:00.",1605451906801,,,,,
,BSCZ_PBU2(319),"SubNetwork=319,ManagedElement=319,TransportNetwork=1,Ip=1,SctpAssociation=6944",BSCZ_PBU2(319),,Major,Communication Alarm,Association broken(199066019),"1. The association is released manually.
2. The association channels on both ends are faulty.
3. The association configurations on the local end and the peer end are not consistent.",20210526 12:24:58,129.0.1.1,MRNC,"Alarm Object:Association; 
Assoc ID:6944; 
Module number:10; 
Reason:Establishment timer timed out; 
ULP type:IPABIS; 
Office ID:0;
Logic Position:System No.:0,Module No.:10,Index:0;",1605451070070,GSM,319,CRP,SctpAssociation,"TransportNetwork=1,Ip=1,SctpAssociation=6944"
,BSCZ_PBU2(319),"SubNetwork=319,ManagedElement=319,GBssFunction=319,GBtsEquipment=6944",BSCZ_PBU2(319),,Critical,Communication Alarm,Site Abis control link broken(199087337),"1. The configured site does not exist.
2. In case of an IP site, the IP-related configuration is incorrect.
3. In case of an E1 site, the Abis timeslot configuration is incorrect.
4. The Abis transmission is abnormal.",20210526 12:24:06,,MRNC,"Alarm Object:SITE; 
Site ID:6944;
Logic Position:System No.:6944,Module No.:10,Index:15;",1605451070113,GSM,319,,GBtsEquipment,"BSC(GV4)(319),S_SMA103M21_PUTRAMENTAYAMAJU-SCO(6944),GBssFunction=319,GBtsEquipment=6944"
,BSCZ_PBU2(319),"SubNetwork=319,ManagedElement=319,GBssFunction=319,GBtsSiteManager=6944,GGsmCell=1",BSCZ_PBU2(319),,Minor,Communication Alarm,Cell interruption alarm(199087342),"1. The link between the BSC and the site that the cell belongs to is broken.
2. The BCCH TRX of the cell is faulty.
3. The cell is manually blocked.
4. The configuration of related cell parameters is incorrect.",20210526 12:29:05,,MRNC,"Alarm Object:CELL; 
Site ID:6944; 
Bts ID:1; 
Trx ID:255; 
Rack ID:255; 
Shelf ID:255; 
Panel ID:255;
Logic Position:System No.:6944,Module No.:10,Index:15;",1605451070196,GSM,319,,GGsmCell,"BSC(GV4)(319),S_SMA103M21_PUTRAMENTAYAMAJU-SCO(6944),GBssFunction=319,GBtsSiteManager=6944,GGsmCell=1"
,BSCZ_PBU2(319),"SubNetwork=319,ManagedElement=319,GBssFunction=319,GBtsSiteManager=6944,GGsmCell=2",BSCZ_PBU2(319),,Minor,Communication Alarm,Cell interruption alarm(199087342),"1. The link between the BSC and the site that the cell belongs to is broken.
2. The BCCH TRX of the cell is faulty.
3. The cell is manually blocked.
4. The configuration of related cell parameters is incorrect.",20210526 12:29:05,,MRNC,"Alarm Object:CELL; 
Site ID:6944; 
Bts ID:2; 
Trx ID:255; 
Rack ID:255; 
Shelf ID:255; 
Panel ID:255;
Logic Position:System No.:6944,Module No.:10,Index:15;",1605451070217,GSM,319,,GGsmCell,"BSC(GV4)(319),S_SMA103M21_PUTRAMENTAYAMAJU-SCO(6944),GBssFunction=319,GBtsSiteManager=6944,GGsmCell=2"
,BSCZ_PBU2(319),"SubNetwork=319,ManagedElement=319,GBssFunction=319,GBtsSiteManager=6944,GGsmCell=3",BSCZ_PBU2(319),,Minor,Communication Alarm,Cell interruption alarm(199087342),"1. The link between the BSC and the site that the cell belongs to is broken.
2. The BCCH TRX of the cell is faulty.
3. The cell is manually blocked.
4. The configuration of related cell parameters is incorrect.",20210526 12:29:05,,MRNC,"Alarm Object:CELL; 
Site ID:6944; 
Bts ID:3; 
Trx ID:255; 
Rack ID:255; 
Shelf ID:255; 
Panel ID:255;
Logic Position:System No.:6944,Module No.:10,Index:15;",1605451070232,GSM,319,,GGsmCell,"BSC(GV4)(319),S_SMA103M21_PUTRAMENTAYAMAJU-SCO(6944),GBssFunction=319,GBtsSiteManager=6944,GGsmCell=3"
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210526 12:40:58,,Local EM,"User vyogie input wrong login password from 10.40.100.20, Login time:2021-05-26T12:40:58+07:00.",1605451906890,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210526 13:50:07,,Local EM,"User vsigmund input wrong login password from 10.40.100.160, Login time:2021-05-26T13:50:53+07:00.",1605451907070,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210526 18:53:41,,Local EM,"User vthio input wrong login password from 10.40.103.48, Login time:2021-05-26T18:53:41+07:00.",1605451907663,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210526 22:56:39,,Local EM,"User vyogie input wrong login password from 10.38.92.12, Login time:2021-05-26T22:57:31+07:00.",1605451907957,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210526 22:56:55,,Local EM,"User vliok input wrong login password from 10.38.92.12, Login time:2021-05-26T22:56:55+07:00.",1605451907958,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 10:15:57,,Local EM,"User vgeopista input wrong login password from 10.38.85.137, Login time:2021-05-27T10:15:57+07:00.",1605451908531,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 10:45:37,,Local EM,"User vsapto input wrong login password from 10.38.76.50, Login time:2021-05-27T10:45:37+07:00.",1605451908645,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 10:52:00,,Local EM,"User varif input wrong login password from 10.38.76.50, Login time:2021-05-27T10:52:00+07:00.",1605451908660,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 10:52:09,,Local EM,"User vsigmund input wrong login password from 10.38.76.50, Login time:2021-05-27T10:52:09+07:00.",1605451908661,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 10:52:17,,Local EM,"User vliok input wrong login password from 10.38.76.50, Login time:2021-05-27T10:52:17+07:00.",1605451908662,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 10:52:38,,Local EM,"User vgeopista input wrong login password from 10.38.76.50, Login time:2021-05-27T10:52:38+07:00.",1605451908664,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 11:28:07,,Local EM,"User yansen input wrong login password from 10.40.97.182, Login time:2021-05-27T11:28:07+07:00.",1605451908785,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 11:31:47,,Local EM,"User vliok input wrong login password from 10.40.98.127, Login time:2021-05-27T11:31:47+07:00.",1605451908791,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 11:53:57,,Local EM,"User vliok input wrong login password from 10.38.87.72, Login time:2021-05-27T11:53:57+07:00.",1605451908841,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 12:26:14,,Local EM,"User varif input wrong login password from 10.38.88.72, Login time:2021-05-27T12:26:14+07:00.",1605451908925,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 12:55:18,,Local EM,"User wahyudialiP723889 input wrong login password from 10.38.89.11, Login time:2021-05-27T12:55:18+07:00.",1605451909845,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 13:27:12,,Local EM,"User vliok input wrong login password from 10.38.90.75, Login time:2021-05-27T14:21:10+07:00.",1605451910104,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 13:27:19,,Local EM,"User varif input wrong login password from 10.38.90.75, Login time:2021-05-27T13:27:25+07:00.",1605451910105,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 13:27:32,,Local EM,"User vsigmund input wrong login password from 10.38.90.75, Login time:2021-05-27T13:27:32+07:00.",1605451910107,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 13:41:58,,Local EM,"User vsigmund input wrong login password from 10.38.91.7, Login time:2021-05-27T13:41:58+07:00.",1605451910306,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 13:50:56,,Local EM,"User vyogie input wrong login password from 10.38.78.151, Login time:2021-05-27T13:51:01+07:00.",1605451910348,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 14:00:17,,Local EM,"User vswindra input wrong login password from 10.40.96.168, Login time:2021-05-27T14:07:38+07:00.",1605451910418,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 14:02:50,,Local EM,"User varif input wrong login password from 10.40.96.168, Login time:2021-05-27T14:09:29+07:00.",1605451910427,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 14:05:21,,Local EM,"User vliok input wrong login password from 10.40.96.168, Login time:2021-05-27T14:08:49+07:00.",1605451910438,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 14:06:27,,Local EM,"User vsigmund input wrong login password from 10.40.96.168, Login time:2021-05-27T14:09:55+07:00.",1605451910459,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 14:18:01,,Local EM,"User vliok input wrong login password from 10.38.92.9, Login time:2021-05-27T14:18:01+07:00.",1605451910521,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 15:54:51,,Local EM,"User vliok input wrong login password from 10.38.67.108, Login time:2021-05-27T16:06:57+07:00.",1605451911278,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 15:56:07,,Local EM,"User vthio input wrong login password from 10.38.67.108, Login time:2021-05-27T16:07:30+07:00.",1605451911289,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 15:56:15,,Local EM,"User vsigmund input wrong login password from 10.38.67.108, Login time:2021-05-27T15:56:15+07:00.",1605451911296,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 15:56:39,,Local EM,"User vliok input wrong login password from 10.38.67.116, Login time:2021-05-27T15:57:02+07:00.",1605451911299,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 16:45:22,,Local EM,"User AkmallasP713890 input wrong login password from 10.40.104.6, Login time:2021-05-27T16:45:22+07:00.",1605451911694,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 17:05:00,,Local EM,"User vliok input wrong login password from 10.38.68.62, Login time:2021-05-27T17:05:17+07:00.",1605451911945,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 19:03:44,,Local EM,"User vliok input wrong login password from 10.38.82.60, Login time:2021-05-27T19:03:44+07:00.",1605451913216,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210527 19:15:13,,Local EM,"User vsapto input wrong login password from 10.38.67.84, Login time:2021-06-17T15:55:21+07:00.",1605451913328,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210528 14:00:53,,Local EM,"User vthio input wrong login password from 10.40.96.142, Login time:2021-05-28T14:00:53+07:00.",1605451915764,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210528 14:45:34,,Local EM,"User vsigmund input wrong login password from 10.36.116.36, Login time:2021-05-28T14:45:34+07:00.",1605451915883,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210528 15:43:48,,Local EM,"User vthio input wrong login password from 10.38.82.180, Login time:2021-05-28T15:44:19+07:00.",1605451916023,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210528 15:45:09,,Local EM,"User varif input wrong login password from 10.38.82.180, Login time:2021-05-28T15:45:09+07:00.",1605451916027,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210528 15:45:46,,Local EM,"User vliok input wrong login password from 10.38.82.180, Login time:2021-05-28T15:45:46+07:00.",1605451916028,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210528 15:49:03,,Local EM,"User AkmallasP713890 input wrong login password from 10.1.27.210, Login time:2021-05-28T15:49:03+07:00.",1605451916031,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210528 23:07:12,,Local EM,"User vgeopista input wrong login password from 10.38.81.125, Login time:2021-05-28T23:07:24+07:00.",1605451916999,,,,,
,EM,,EM,,Warning,OMC Alarm,Wrong login password(1050),,20210528 23:08:46,,Local EM,"User vliok input wrong login password from 10.38.81.125, Login time:2021-05-28T23:08:46+07:00.",1605451917002,,,,,
